Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-06 00:00:00+05:30,130896.42245990904,132196.3869304811,130412.6388072369,130631.9765625,7588,0.0,0.0
2024-12-09 00:00:00+05:30,131236.41551771227,133168.86273645642,130796.97439524156,132147.796875,7413,0.0,0.0
2024-12-10 00:00:00+05:30,133096.35743715471,133115.65378405494,131643.64719472927,132454.625,6593,0.0,0.0
2024-12-11 00:00:00+05:30,132097.3863907501,132796.36726967708,131847.6432226356,132513.78125,3350,0.0,0.0
2024-12-12 00:00:00+05:30,132596.37071060875,132778.11573607373,131651.99030920293,131868.796875,3243,0.0,0.0
2024-12-13 00:00:00+05:30,131996.39312794476,133496.3521407623,130896.47005893102,133231.609375,5396,0.0,0.0
2024-12-16 00:00:00+05:30,133236.60558678003,133439.14692167853,132296.3813046808,132526.875,2755,0.0,0.0
2024-12-17 00:00:00+05:30,132526.8715191555,132526.91839287215,130660.52418076839,130973.015625,4757,0.0,0.0
2024-12-18 00:00:00+05:30,130996.41357038303,131495.74364968674,130096.43820997581,130407.7265625,3584,0.0,0.0
2024-12-19 00:00:00+05:30,128996.46839391557,130100.39129622119,128884.4714601162,129839.546875,3035,0.0,0.0
2024-12-20 00:00:00+05:30,129839.55277042225,130656.53044067894,127552.61527730466,128054.3984375,9524,0.0,0.0
2024-12-23 00:00:00+05:30,128056.49997617517,130496.43328823098,128056.49997617517,130342.3359375,4229,0.0,0.0
2024-12-24 00:00:00+05:30,131176.41462892736,131176.41462892736,129946.44824690586,130339.640625,2554,0.0,0.0
2024-12-26 00:00:00+05:30,129886.44224669346,131496.39814797282,129886.44224669346,131200.609375,5181,0.0,0.0
2024-12-27 00:00:00+05:30,130996.42137846886,132671.32874756568,130926.42329070937,131550.203125,4886,0.0,0.0
2024-12-30 00:00:00+05:30,130951.41136761368,131869.97994488044,129496.45123978444,131138.15625,10148,0.0,0.0
2024-12-31 00:00:00+05:30,130986.41998112462,131396.40877563003,129548.45928234718,130631.28125,3714,0.0,0.0
2025-01-01 00:00:00+05:30,129996.44382683604,130785.67223676166,128996.47118201423,129370.9609375,2343,0.0,0.0
2025-01-02 00:00:00+05:30,129696.4554078182,129835.49848278376,127796.5073332241,129208.265625,7133,0.0,0.0
2025-01-03 00:00:00+05:30,129296.45860742903,129796.44491294885,125122.32293579669,126359.0390625,8718,0.0,0.0
2025-01-06 00:00:00+05:30,126796.53317398464,126915.77991358242,122306.65593462193,122866.59375,7675,0.0,0.0
2025-01-07 00:00:00+05:30,123446.61866595,124226.59730150642,120696.79554902692,121218.828125,8586,0.0,0.0
2025-01-08 00:00:00+05:30,121995.55889271302,121996.51199162258,118997.74251838101,119866.015625,7672,0.0,0.0
2025-01-09 00:00:00+05:30,120386.70887524994,120746.55060041806,118736.95710106668,118882.3984375,5782,0.0,0.0
2025-01-10 00:00:00+05:30,118326.76335555395,119096.44542709882,116996.84660835666,117101.34375,5619,0.0,0.0
2025-01-13 00:00:00+05:30,116996.79684435383,116996.79684435383,112696.91456716816,113000.703125,9530,0.0,0.0
2025-01-14 00:00:00+05:30,113000.70497098466,114696.86168606394,112649.06615495974,114210.2734375,8640,0.0,0.0
2025-01-15 00:00:00+05:30,115196.84838085566,115196.84838085566,113751.3879265629,114223.875,5385,0.0,0.0
2025-01-16 00:00:00+05:30,114796.85798044015,115296.89116940302,114134.92297277175,114460.46875,4528,0.0,0.0
2025-01-17 00:00:00+05:30,114396.8235915762,114536.01509623913,113298.00208933934,113945.53125,3965,0.0,0.0
2025-01-20 00:00:00+05:30,113945.53463434681,114041.13358440295,112096.93671370167,113783.4921875,5911,0.0,0.0
2025-01-21 00:00:00+05:30,113786.8833235483,115291.63898258042,111908.98163516208,112094.1796875,6999,0.0,0.0
2025-01-22 00:00:00+05:30,112996.90698793353,113000.30533241222,110522.57627914348,111596.796875,5531,0.0,0.0
2025-01-23 00:00:00+05:30,111396.95459360835,112196.88584982595,110546.9778305512,111736.4453125,7377,0.0,0.0
2025-01-24 00:00:00+05:30,111996.9390376553,112664.71766175273,111008.41917966209,111481.5,4615,0.0,0.0
2025-01-27 00:00:00+05:30,111475.94703031973,111565.64769870529,110096.9847956853,111253.40625,4370,0.0,0.0
2025-01-28 00:00:00+05:30,111073.91657919626,113089.759907443,111073.91657919626,112880.6171875,9345,0.0,0.0
2025-01-29 00:00:00+05:30,112346.92927624234,112797.31540355826,111596.99664878465,112331.8828125,5682,0.0,0.0
2025-01-30 00:00:00+05:30,112391.88121916336,113496.89789174011,112042.33608546497,112619.421875,7858,0.0,0.0
2025-01-31 00:00:00+05:30,111796.94076848614,114603.1139798597,111796.94076848614,113629.390625,6999,0.0,0.0
2025-02-01 00:00:00+05:30,113629.39007861663,114496.81946295245,112212.13199253581,114180.328125,4218,0.0,0.0
2025-02-03 00:00:00+05:30,114096.88224440944,114987.20947826299,113396.90137174436,113790.1875,4291,0.0,0.0
2025-02-04 00:00:00+05:30,113996.88491604132,115004.25582607892,113107.90920823114,114931.5625,5329,0.0,0.0
2025-02-05 00:00:00+05:30,114929.85232249105,115416.79211127429,114321.9705335449,114957.6015625,5231,0.0,0.0
2025-02-06 00:00:00+05:30,115196.84567182433,115396.73863584106,109996.98805469337,114125.7734375,24120,0.0,0.0
2025-02-07 00:00:00+05:30,112446.92568452145,115188.74916016457,112297.13290487808,112872.015625,9034,0.0,0.0
2025-02-10 00:00:00+05:30,112996.90718835087,113390.24798481286,110757.0153709006,111033.1640625,6609,0.0,0.0
2025-02-11 00:00:00+05:30,111454.94837631665,111526.69641186368,108416.28157466462,108713.4765625,7514,0.0,0.0
2025-02-12 00:00:00+05:30,108713.47947406225,110964.46477763071,106332.09148741173,109391.15625,11043,0.0,0.0
2025-02-13 00:00:00+05:30,109996.99363196589,110376.98324633086,109036.51988302496,109764.0,5402,0.0,0.0
2025-02-14 00:00:00+05:30,109688.0,110598.75,108520.6015625,109474.8515625,4673,3.0,0.0
2025-02-17 00:00:00+05:30,109200.0,110371.3984375,108000.0,109984.0,5051,0.0,0.0
2025-02-18 00:00:00+05:30,109601.0,109999.953125,108700.0,109020.453125,3139,0.0,0.0
2025-02-19 00:00:00+05:30,108800.0,109900.0,108269.1015625,109570.703125,3428,0.0,0.0
2025-02-20 00:00:00+05:30,109750.0,110400.0,108880.6015625,109938.703125,3751,0.0,0.0
2025-02-21 00:00:00+05:30,109900.0,110371.0,108786.0,109263.296875,5319,0.0,0.0
2025-02-24 00:00:00+05:30,109260.0,109500.0,108149.0,108842.0,4368,0.0,0.0
2025-02-25 00:00:00+05:30,108700.0,109244.953125,107000.0,107203.953125,4923,0.0,0.0
2025-02-27 00:00:00+05:30,107399.0,107879.8515625,105250.453125,105723.3984375,8469,0.0,0.0
2025-02-28 00:00:00+05:30,105480.0,105649.75,103824.1015625,105373.703125,8766,0.0,0.0
2025-03-03 00:00:00+05:30,105500.0,106190.8515625,104025.0,105170.25,4599,0.0,0.0
2025-03-04 00:00:00+05:30,104900.0,105170.25,102351.0,102659.3984375,13881,0.0,0.0
2025-03-05 00:00:00+05:30,102345.6015625,105962.5,102124.046875,105805.5,6770,0.0,0.0
2025-03-06 00:00:00+05:30,106995.5,108250.0,106500.046875,107795.296875,5969,0.0,0.0
2025-03-07 00:00:00+05:30,107500.0,108650.0,107001.5,107202.953125,4698,0.0,0.0
2025-03-10 00:00:00+05:30,107839.0,108197.953125,106174.75,106650.6015625,5348,0.0,0.0
2025-03-11 00:00:00+05:30,106500.0,106859.953125,105576.046875,106534.296875,3772,0.0,0.0
2025-03-12 00:00:00+05:30,107000.0,107475.75,106309.0,107264.25,3589,0.0,0.0
2025-03-13 00:00:00+05:30,107264.25,107264.25,104800.0,105041.6015625,9096,0.0,0.0
2025-03-17 00:00:00+05:30,105200.0,106440.703125,105200.0,105410.796875,3890,0.0,0.0
2025-03-18 00:00:00+05:30,105410.796875,105410.796875,105410.796875,105410.796875,0,0.0,0.0
2025-03-19 00:00:00+05:30,107999.703125,110099.0,107999.703125,109922.796875,6057,0.0,0.0
2025-03-20 00:00:00+05:30,110500.0,111450.0,110161.1484375,111107.8984375,5687,0.0,0.0
2025-03-21 00:00:00+05:30,111440.0,112799.953125,111042.453125,112050.1484375,8367,0.0,0.0
2025-03-24 00:00:00+05:30,112990.0,114300.0,112651.296875,114020.796875,5731,0.0,0.0
2025-03-25 00:00:00+05:30,115925.0,116000.0,113509.8515625,114264.5,8037,0.0,0.0
2025-03-26 00:00:00+05:30,114126.5,115500.0,113900.1015625,114321.203125,5979,0.0,0.0
2025-03-27 00:00:00+05:30,114003.0,114200.0,112445.0,113264.046875,10576,0.0,0.0
2025-03-28 00:00:00+05:30,113800.0,114397.0,112084.3515625,112677.75,7320,0.0,0.0
